"name","genre"
"Itzhak Perlman","classical"
"Linkin Park","metal"
"Metallica","metal"
"Five Finger Death Punch","metal"
"Bring Me The Horizon","metal"
"Red Hot Chili Peppers","metal"
"Three Days Grace","metal"
"Disturbed","metal"
"Slipknot","metal"
"System Of A Down","metal"
"A Day To Remember","metal"
"Breaking Benjamin","metal"
"Nickelback","metal"
"Avenged Sevenfold","metal"
"Shinedown","metal"
"Korn","metal"
"Foo Fighters","metal"
"Papa Roach","metal"
"Hollywood Undead","metal"
"Ozzy Osbourne","metal"
"Guns N' Roses","metal"
"Seether","metal"
"TOOL","metal"
"Godsmack","metal"
"Mötley Crüe","metal"
"Alice In Chains","metal"
"Bon Jovi","metal"
"Falling In Reverse","metal"
"Rage Against The Machine","metal"
"Skillet","metal"
"Deftones","metal"
"3 Doors Down","metal"
"I Prevail","metal"
"The Offspring","metal"
"Black Sabbath","metal"
"Theory of a Deadman","metal"
"Limp Bizkit","metal"
"Chevelle","metal"
"The Smashing Pumpkins","metal"
"Incubus","metal"
"Marilyn Manson","metal"
"Dance Gavin Dance","metal"
"Sabaton","metal"
"Asking Alexandria","metal"
"Evanescence","metal"
"311","metal"
"Rush","metal"
"Architects","metal"
"Nine Inch Nails","metal"
"Sum 41","metal"
"Staind","metal"
"Fall Out Boy","punk"
"Green Day","punk"
"blink-182","punk"
"A Day To Remember","punk"
"All Time Low","punk"
"Cage The Elephant","punk"
"Sublime","punk"
"The Offspring","punk"
"Falling In Reverse","punk"
"Rise Against","punk"
"Pierce The Veil","punk"
"Hollywood Undead","punk"
"The All-American Rejects","punk"
"Dance Gavin Dance","punk"
"Sum 41","punk"
"The Black Keys","punk"
"Bowling For Soup","punk"
"The Smiths","punk"
"Neon Trees","punk"
"The White Stripes","punk"
"Simple Plan","punk"
"Mindless Self Indulgence","punk"
"Good Charlotte","punk"
"Jimmy Eat World","punk"
"The Clash","punk"
"Plain White T's","punk"
"Empire of the Sun","punk"
"Mayday Parade","punk"
"Sleeping With Sirens","punk"
"Set It Off","punk"
"Yellowcard","punk"
"Waterparks","punk"
"AFI","punk"
"Dropkick Murphys","punk"
"Taking Back Sunday","punk"
"Neck Deep","punk"
"We The Kings","punk"
"Our Last Night","punk"
"Thirty Seconds To Mars","punk"
"The Red Jumpsuit Apparatus","punk"
"Joan Jett & The Blackhearts","punk"
"The Front Bottoms","punk"
"Hot Chelle Rae","punk"
"Bullet For My Valentine","punk"
"Surf Curse","punk"
"NOFX","punk"
"Escape the Fate","punk"
"Coheed and Cambria","punk"
"New Found Glory","punk"
"Against The Current","punk"
